folio,fecha,importe,concepto,comentarios,evento_id,proveedor_id,tipo_gasto
1681,2024-02-19 22:15:32,10000,anticipo,ANTICIPO SALON CANDILES POLANCO / 11 ENERO 2025 folio:G2023-7959,184,67,efe
1682,2024-02-20 23:36:34,20000,anticipo,ANTICIPO SALON HSA CAMPOS / 24 MAYO 2025 folio:G2023-7997,140,171,efe
1683,2024-02-23 16:33:23,50000,anticipo,ANTICIPO RENTA DE SALON LILIANA GARCÍA folio:G2023-8066,150,40,efe
1684,2024-03-20 20:29:47,15000,anticipo,ANTICIPO HOTEL HILTON 19 JULIO 2025 folio:G2023-8696,163,168,efe
1685,2024-03-20 20:35:46,46875,anticipo,ANTICIPO SALON CEDROS 9 MAYO 2025 folio:G2023-8698,135,75,efe
1686,2024-03-20 20:41:09,0,anticipo,"ANTICIPO SALON SANTA RITA 11 ENERO 2025 . SE CANCELA A SOLICITUD DE BRENDA 20 MARZO 2024 X 15,000 folio:G2023-8699",116,285,efe
1687,2024-03-25 23:51:03,35000,anticipo,COMPLEMENTO ANTICIPO HOTEL HILTON 19 JULIO 2025 folio:G2023-8857,163,168,efe
1688,2024-03-26 23:48:24,261000,anticipo,ANTICIPO SALON JARDIN SANTA RITA 11 ENERO 2025 folio:G2023-8884,116,285,efe
1689,2024-04-09 00:21:45,20000,anticipo,ANTICIPO SALON HSA CUPULA 8 FEBRERO 2025 folio:G2023-9038,129,171,efe
1690,2024-04-11 21:54:41,2750,pago,PAGO DE TOTE BAG EVENTO 8 FEBRERO 2025 - LIZ folio:G2023-9068,129,262,efe
1691,2024-04-15 23:12:41,5000,apertura,APERTURA DE CUENTA BANBAJIO PSICOLOGIA 2025 folio:G2023-9119,163,250,efe
1692,2024-04-15 23:14:18,5000,apertura,APERTURA DE CUENTA BANBAJIO C.U. ARQ. 2025 folio:G2023-9120,135,251,efe
1693,2024-04-17 20:08:08,5000,anticipo,COMPLEMENTO ANTICIPO SALON HSA CUPULA 8 FEBRERO 2025 folio:G2023-09194,129,171,efe
1694,2024-04-18 00:50:50,50000,anticipo,ANTICIPO SALON VIZCAINAS 5 JULIO 2025 folio:G2023-09207,156,297,efe
1695,2024-04-18 16:26:28,10000,anticipo,COMPLEMENTO SALON VIZCAINAS 5 JULIO 2025 folio:G2023-09210,156,297,efe
1696,2024-04-30 18:16:26,30839,anticipo,ANTICIPO SALON EVENTO 31 ENERO 2025 CUPULA folio:G2023-09380,124,171,efe
1697,2024-05-02 20:02:24,34050,devolucion,DEVOLUCION POR CANCELACIÓN DE CONTRATO 1° FEB. 2025 CANDILES- IPN ECONOMIA folio:G2023-09458,127,40,efe
1698,2024-05-03 20:16:05,5000,apertura,"Cuenta para Comité 
 folio:G2023-09476",121,59,efe
1699,2024-05-07 17:52:17,10000,anticipo,ANTICIPO SALON EVENTO 10 ENERO 2025 CANDILES VICTORIA folio:G2023-09513,112,67,efe
1700,2024-05-07 23:25:03,1100,pago,PAGO PEDIDO TOTE BAG 8 FEBRERO 2025 - LIZ folio:G2023-09531,129,262,efe
